1	What is it ?	/usr/local/qt/doc/html/aboutqt.html	DISPLAY	HTML	what.png	
2	Classes Browser	/usr/local/qt/doc/html/groups.html	DISPLAY	HTML	browser.png	
3	Main Documentation	/usr/local/qt/doc/html/index.html	DISPLAY	HTML	documentation.png	
4	Tutorial	/usr/local/qt/doc/html/tutorial.html	DISPLAY	HTML	tutorial.png	
5	Examples	/usr/local/qt/doc/html/examples.html	DISPLAY	HTML	examples.png	
5_1	aclock	/usr/local/qt/examples/aclock	EXECUTE	EXE	example.png	
5_1_1	aclock.cpp	/usr/local/qt/examples/aclock/aclock.cpp	DISPLAY	TEXT	sources.png	
5_1_2	main.cpp	/usr/local/qt/examples/aclock/main.cpp	DISPLAY	TEXT	sources.png	
5_1_3	aclock.h	/usr/local/qt/examples/aclock/aclock.h	DISPLAY	TEXT	headers.png	
5_1_4	Makefile	/usr/local/qt/examples/aclock/Makefile	DISPLAY	TEXT	makefile.png	
5_2	action	/usr/local/qt/examples/action	EXECUTE	EXE	example.png	
5_2_1	application.cpp	/usr/local/qt/examples/action/application.cpp	DISPLAY	TEXT	sources.png	
5_2_2	main.cpp	/usr/local/qt/examples/action/main.cpp	DISPLAY	TEXT	sources.png	
5_2_3	application.h	/usr/local/qt/examples/action/application.h	DISPLAY	TEXT	headers.png	
5_2_4	Makefile	/usr/local/qt/examples/action/Makefile	DISPLAY	TEXT	makefile.png	
5_3	addressbook	/usr/local/qt/examples/addressbook	EXECUTE	EXE	example.png	
5_3_1	centralwidget.cpp	/usr/local/qt/examples/addressbook/centralwidget.cpp	DISPLAY	TEXT	sources.png	
5_3_2	main.cpp	/usr/local/qt/examples/addressbook/main.cpp	DISPLAY	TEXT	sources.png	
5_3_3	mainwindow.cpp	/usr/local/qt/examples/addressbook/mainwindow.cpp	DISPLAY	TEXT	sources.png	
5_3_4	centralwidget.h	/usr/local/qt/examples/addressbook/centralwidget.h	DISPLAY	TEXT	headers.png	
5_3_5	mainwindow.h	/usr/local/qt/examples/addressbook/mainwindow.h	DISPLAY	TEXT	headers.png	
5_3_6	Makefile	/usr/local/qt/examples/addressbook/Makefile	DISPLAY	TEXT	makefile.png	
5_4	application	/usr/local/qt/examples/application	EXECUTE	EXE	example.png	
5_4_1	application.cpp	/usr/local/qt/examples/application/application.cpp	DISPLAY	TEXT	sources.png	
5_4_2	main.cpp	/usr/local/qt/examples/application/main.cpp	DISPLAY	TEXT	sources.png	
5_4_3	application.h	/usr/local/qt/examples/application/application.h	DISPLAY	TEXT	headers.png	
5_4_4	Makefile	/usr/local/qt/examples/application/Makefile	DISPLAY	TEXT	makefile.png	
5_5	biff	/usr/local/qt/examples/biff	EXECUTE	EXE	example.png	
5_5_1	biff.cpp	/usr/local/qt/examples/biff/biff.cpp	DISPLAY	TEXT	sources.png	
5_5_2	bmp.cpp	/usr/local/qt/examples/biff/bmp.cpp	DISPLAY	TEXT	sources.png	
5_5_3	main.cpp	/usr/local/qt/examples/biff/main.cpp	DISPLAY	TEXT	sources.png	
5_5_4	biff.h	/usr/local/qt/examples/biff/biff.h	DISPLAY	TEXT	headers.png	
